postal_code,number
10150,91
10240,90
10110,88
10160,75
10310,70
10120,63
10250,60
10400,60
10210,58
10230,54
10260,53
10510,49
12130,49
10220,48
10900,46
12120,45
10540,44
10520,42
10600,42
10100,38
10270,37
10700,36
10280,28
10140,27
10170,26
12000,26
10130,23
10500,18
12150,17
10800,17
10330,16
10200,15
10290,15
10530,12
12110,12
10300,11
74000,9
11110,9
90110,8
10570,8
12140,7
20150,7
18000,6
77110,6
11000,6
12345,5
30000,5
10000,5
40000,5
51000,4
52000,4
20230,4
21140,4
10560,4
20160,4
34000,4
11120,4
12160,4
24130,4
11140,3
50100,3
20110,3
10242,3
10320,3
40110,3
57000,3
15220,3
21120,3
72000,3
11150,3
50300,3
12170,3
47000,3
83120,3
41000,3
13210,3
63140,3
50130,2
74130,2
71000,2
83000,2
44160,2
33000,2
31150,2
51150,2
25110,2
90115,2
50180,2
63000,2
42130,2
57110,2
70000,2
73000,2
39000,2
22222,2
57150,2
73120,2
50000,2
34170,2
12030,2
81000,2
23333,2
13000,2
45150,2
32000,2
83100,2
13270,2
10688,2
20180,2
31190,2
40160,2
80000,2
21000,2
77000,2
60140,2
45170,2
92000,2
30320,2
45210,2
45000,2
70120,2
70110,2
36150,2
13130,2
45230,2
18140,2
84000,2
52100,2
67110,2
35000,2
73170,2
22000,2
10789,2
85000,1
36000,1
39180,1
21110,1
16150,1
37000,1
36190,1
12060,1
10586,1
15110,1
90180,1
47160,1
40190,1
84140,1
30340,1
65190,1
64210,1
13160,1
10273,1
10203,1
50140,1
77130,1
99999,1
24160,1
36160,1
48150,1
24120,1
39350,1
44170,1
83130,1
32190,1
13170,1
86230,1
10765,1
10026,1
11111,1
70130,1
57120,1
57140,1
18150,1
50290,1
67170,1
34260,1
40002,1
71150,1
93130,1
31000,1
90220,1
96180,1
61110,1
77180,1
60210,1
66140,1
90000,1
67250,1
73110,1
10543,1
10125,1
36120,1
20000,1
40140,1
38000,1
60110,1
93000,1
18240,1
20250,1
66000,1
25210,1
40130,1
10141,1
10685,1
20140,1
73220,1
53220,1
90160,1
60000,1
41280,1
67260,1
41110,1
10274,1
15140,1
53000,1
50170,1
48110,1
34160,1
46180,1
40280,1
72180,1
10020,1
10010,1
30280,1
74110,1
42000,1
92190,1
67140,1
51110,1
62120,1
64150,1
83110,1
16110,1
86150,1
60170,1
30180,1
26120,1
18230,1
30170,1
71180,1
65150,1
50160,1
44210,1
50110,1
54000,1
24140,1
10050,1
10206,1
73140,1
45110,1
72160,1
58130,1
81180,1
90100,1
15000,1
48130,1
41150,1
30240,1
13180,1
47140,1
10001,1
10502,1
84320,1
10519,1
44130,1
71220,1
33170,1
50220,1
24000,1
12087,1
24110,1
14160,1
66130,1
13120,1
22120,1
53230,1
72120,1
80160,1
46150,1
36170,1
62150,1
10115,1
50360,1
27000,1
10538,1
10106,1
55180,1
60220,1
50150,1
23170,1
81130,1
13220,1
41370,1
73130,1
57240,1
61000,1
10012,1
90250,1
54130,1
11122,1
60190,1
50210,1
20170,1
76120,1
40120,1
27180,1
10111,1
10866,1
81110,1
37290,1
21130,1
40310,1
50230,1
65140,1
30370,1
85120,1
83150,1
10495,1
17140,1
50152,1
30120,1
13260,1
